iso_code,location,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,total_cases_per_million,total_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,kmeans_cluster,agglo_cluster
OWID_ASI,Asia,0.137,0.001,63948.2,347.262,78.14,73.33,4,1
CZE,Czechia,7.643,0.013,446155.97,4076.466,66.53,65.71,0,2
EST,Estonia,0.0,0.0,452169.94,2220.589,65.62,65.06,0,2
OWID_EUR,Europe,7.454,0.031,337990.34,2809.694,70.33,66.29,0,2
OWID_EUN,European Union (27),8.156,0.048,413754.22,2812.18,75.11,72.86,2,0
OWID_HIC,High-income countries,3.779,0.092,351468.5,2455.406,79.86,74.31,2,0
IND,India,0.031,0.0,31598.86,374.361,72.5,67.18,1,3
LTU,Lithuania,40.926,0.0,486117.47,3482.525,71.21,68.4,3,4
OWID_LMC,Lower-middle-income countries,0.027,0.0,28590.73,369.385,66.49,59.82,1,3
MYS,Malaysia,4.467,0.0,153028.81,1076.538,82.91,81.18,4,1
OWID_NAM,North America,0.107,0.146,205992.19,2765.22,76.39,65.71,2,0
OWID_OCE,Oceania,5.737,0.051,333039.8,730.704,64.3,62.33,0,2
OWID_UMC,Upper-middle-income countries,0.72,0.001,88856.516,996.892,83.49,78.81,4,1
OWID_WRL,World,0.843,0.015,97113.85,883.329,70.61,64.93,1,3
